timestart,timeend,responsetype,ipaddress,progress,duration,finished,timerecorded,responseid,lastname,firstname,email,externaldata,latitude,longitude,distribution,language,recaptcha,optin,signature_id,signature_file,signature_size,signature_path,prolificid_resp,age,shouldconcern,progressivity_early,viewchange,viewchange_oth,viewbetter,viewbetter_oth,viewworse,viewworse_oth,poorbenefit,bothbenefit,middlebenefit,taxdemotivates,gapmotivates,fundedu,protecttrade,cuttaxes,univhealth,wealthtax,zerosumrich,zerosumceo,zerosumwomen,zerosumdei,moveup20,moveup50,moveupnow,workhaspaid,workwillpay,eduwillpay,compmoth,compfath,compfam,compper,nohh,hhin10,pinc,pinc10est,pinc10cert,pinc10high,pinc10low,hhinc,hhinc10exp,hhinc10cert,hhinc10high,hhinc10low,hhincneed,child30s,hhincneed30s,child40s,hhincneed40s,stranger100,friend100,oneyr1100,oneyr1500,oneyr2000,fiveyr1100,fiveyr1500,fiveyr2000,currentdesires,ranksalary,rankflex,rankgrowth,rankmeaning,rankenviron,satisfiedbasics,startbiz,stableincome,worriedjob,similarjob,safetynet,riskai,riskclimate,riskhealth,riskhome,progressivity_late,gender,marital,marital_oth,children,childrenplan,race,race_oth,usborn,usbornparents,state,zip,density,homestate,hometown,homedensity,student,edu,eduplan,edumoth,edufath,employment,ideolecon,ideolsocial,vote2024,vote2020,surveybias,feedback,prolificid,progressivity_timing
7/29/25 8:30,7/29/25 8:42,IP Address,108.92.163.193,100,705,TRUE,7/29/25 8:42,R_5RUeoiGy8XQRgNX,,,,,34.0344,-84.6002,anonymous,EN,1,1,F_27DO5IFWh7eztaa,signature.png,11563,image/png,,47,The government should concern itself with this.,,I now support redistribution slightly more than in the past,,I think the policy is more fair now,,,,Support moderately,,,Disagree strongly,Disagree strongly,Agree somewhat,Disagree somewhat,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree somewhat,Almost no chance (0-20%),Unlikely (20-40%),Much harder now,It has not paid off much,It will not pay off much,It will not pay off much,Average,Average,Below average,Far below average,"No, someone else also earns income","Yes, more than one person",7500,20000,Not very certain,35000,8000,55000,60000,Not very certain,75000,40000,60000,,,,,$11-$20,$41-$50,"$1,100 in 1 year","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,500 in 5 years","$2,000 in 5 years",Disagree somewhat,3,1,2,5,4,Agree strongly,Maybe,Somewhat stable,Somewhat worried,Even chance (40-60%),1–3 months,The risk is low,The risk is low,The risk is high,The risk is high,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Female,Single,,2,2,White or European American,,Yes,Yes,Georgia,30144,Suburban,Florida,Tampa,Suburban,Not a student,High school degree / GED,High school degree / GED,Some college,High school degree / GED,Self-employed or small business owner,Liberal,Liberal,Kamala Harris,Joe Biden,Unbiased,It was hard to estimate household income in ten years.,5c5485607614690001164951,late
7/29/25 8:29,7/29/25 8:42,IP Address,73.52.214.112,100,810,TRUE,7/29/25 8:42,R_11S4Bf0KZcHXgmo,,,,,40.809,-79.5189,anonymous,EN,1,1,F_2rqgHp7S6TlU1ye,signature.png,7284,image/png,,47,The government should concern itself with this.,,I now support redistribution slightly more than in the past,,I think the policy is more fair now,,,,Support moderately,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree somewhat,Disagree strongly,Agree strongly,Agree strongly,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Unlikely (20-40%),Even chance (40-60%),Much harder now,It has not paid off much,It will not pay off much,It will not pay off much,Average,Average,Average,Below average,"No, someone else also earns income","Yes, more than one person",5000,15000,Not very certain,30000,10000,23000,30000,Somewhat certain,40000,20000,28000,,,,,$0-$10,$0-$10,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,2,5,4,3,Agree somewhat,Probably not,Neutral,Somewhat worried,Unlikely (10-40%),1–3 months,The risk is low,No risk,The risk is substantial,I have already owned or currently own a home,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Male,Cohabitating,,1,1,White or European American,,Yes,Yes,Pennsylvania,16229,Rural,Pennsylvania,freeport,Rural,Not a student,4-year college degree,4-year college degree,High school degree / GED,Some college,Unemployed and looking for work,Liberal,Moderate,Kamala Harris,Joe Biden,Unbiased,,674f320a16eba7f4a31ed965,late
7/29/25 8:28,7/29/25 8:42,IP Address,99.98.70.106,100,878,TRUE,7/29/25 8:42,R_7FE2NYq3mrxfC7c,,,,,35.0812,-92.4722,anonymous,EN,1,1,F_1ogJwRd2ahmsLzS,signature.png,6839,image/png,,52,The government should not concern itself with this.,,I now support redistribution slightly less than in the past,,,,"Taxes affect me more now,I think the policy is worse for the economy now,I think the policy is less fair now",,,Reject moderately,,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree somewhat,Neutral,Agree strongly,Likely (60-80%),Almost guaranteed (80-100%),Somewhat easier now,It has paid off a lot,It will pay off a lot,It will pay off somewhat,Far below average,Far below average,Below average,Above average,Yes,"Yes, more than one person",70000,100000,Somewhat certain,150000,75000,,180000,Somewhat certain,210000,120000,100000,,,,,$11-$20,$41-$50,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Disagree somewhat,1,2,5,3,4,Agree somewhat,Maybe,Somewhat unstable,Somewhat worried,Likely (60-90%),1–3 months,The risk is low,No risk,The risk is substantial,I have already owned or currently own a home,Somewhat less progressive,Male,Cohabitating,,3,3,White or European American,,Yes,Yes,Arkansas,72032,Suburban,Arkansas,Marshall,Suburban,Not a student,"Professional doctorate (e.g., JD, MD)","Professional doctorate (e.g., JD, MD)",High school degree / GED,High school degree / GED,Full-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,,662939026740389d07b16f23,late
7/29/25 8:31,7/29/25 8:42,IP Address,24.16.249.143,100,668,TRUE,7/29/25 8:42,R_6ou6lA1uAvczkgH,,,,,47.7768,-117.0949,anonymous,EN,1,1,F_T6ZZ4SXHpyV2Vfb,signature.png,8236,image/png,,75,The government should concern itself with this.,,I now support redistribution much more than in the past,,"I think the policy is better for the economy now,I think the policy is more fair now",,,,Support moderately,,,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Neutral,Agree strongly,Disagree strongly,Agree somewhat,Unlikely (20-40%),Even chance (40-60%),Somewhat harder now,It has paid off somewhat,It will not pay off much,It will not pay off much,Average,Average,Average,Below average,"No, someone else also earns income","No, just myself",35000,21000,Somewhat certain,25000,18000,44000,,,,,44000,,,,,$91-$100,$41-$50,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$2,000 in 5 years",Disagree somewhat,5,2,3,1,4,Agree somewhat,Probably not,Somewhat stable,Somewhat worried,Almost no chance (0-10%),More than 6 months,The risk is substantial,No risk,No risk,I have already owned or currently own a home,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Male,Cohabitating,,3,3,White or European American,,Yes,Yes,Washington,99204,Urban,Oregon,Portland,Urban,Not a student,Some college,Some college,4-year college degree,4-year college degree,Part-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Unbiased,"I'm old so some of the future forecasting was hard-ish, but finally I figured that in 5 or 10 years my estate would appreciate the $2000 to share among my three adult children.",5dc483cf74939e34e55c3619,late
7/29/25 8:29,7/29/25 8:42,IP Address,172.125.251.232,100,773,TRUE,7/29/25 8:42,R_5rkSIi6BdhuaA4V,,,,,33.5146,-83.8626,anonymous,EN,0.800000012,1,F_3hiGyIUrsaJMlkR,signature.png,5506,image/png,,60,The government should concern itself with this.,,I now support redistribution slightly more than in the past,,I think the policy is better for the economy now,,,,,,Support moderately,Disagree somewhat,Agree somewhat,Agree strongly,Disagree strongly,Disagree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Disagree strongly,Disagree somewhat,Unlikely (20-40%),Unlikely (20-40%),Much easier now,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Below average,Below average,Average,Average,Yes,"No, just myself",47000,60000,Somewhat certain,75000,40000,,,,,,50000,,,,,$41-$50,$41-$50,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,2,1,4,5,3,Disagree somewhat,Probably not,Very stable,Not very worried,Even chance (40-60%),1–3 months,No risk,The risk is low,I already live without health insurance,The risk is substantial,Somewhat more progressive,Female,Single,,0,0,Black or African American,,Yes,Yes,Georgia,30016,Suburban,Kentucky,Louisville ,Urban,Not a student,"Master's degree (e.g., MA, MS, MBA)","Master's degree (e.g., MA, MS, MBA)",Eighth grade or less,Eighth grade or less,Part-time employee,Moderate,Liberal,Kamala Harris,Joe Biden,Unbiased,,66568e65d6c28172319a8d9f,late
7/29/25 8:27,7/29/25 8:42,IP Address,73.127.210.233,100,906,TRUE,7/29/25 8:42,R_7g0jJBvSz7QfeMv,,,,,32.3224,-106.8041,anonymous,EN,1,1,F_3m8Ardy8i7KYRXr,signature.png,6681,image/png,,72,The government should not concern itself with this.,,I now support redistribution slightly less than in the past,,,,I think the policy is less fair now,,,Reject strongly,,Agree strongly,Disagree somewhat,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Disagree strongly,Disagree somewhat,Agree somewhat,Agree strongly,Agree strongly,Even chance (40-60%),Unlikely (20-40%),Much harder now,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Above average,Below average,Below average,Average,Yes,"No, just myself",39000,44000,Not very certain,45000,35000,,,,,,36000,,,,,$0-$10,$11-$20,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,4,5,3,2,Agree somewhat,Definitely not,Very stable,Not very worried,Even chance (40-60%),More than 6 months,The risk is low,The risk is low,The risk is low,I have already owned or currently own a home,No change,Female,Single,,3,3,White or European American,,Yes,Yes,Missouri,63640,Rural,Illinois,Princeton,Rural,Not a student,4-year college degree,4-year college degree,High school degree / GED,"Professional doctorate (e.g., JD, MD)",Part-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,none,62897d2024f826ea90b7efa1,late
7/29/25 8:28,7/29/25 8:43,IP Address,71.68.0.60,100,853,TRUE,7/29/25 8:43,R_5u5rHbqCtwFf98B,,,,,35.2497,-81.1369,anonymous,EN,1,1,F_DUYFyOWcHsgTnfb,signature.png,10191,image/png,,57,The government should concern itself with this.,,No change,,,,,,,Support strongly,,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Neutral,Almost no chance (0-20%),Unlikely (20-40%),Somewhat harder now,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Average,Average,Above average,Average,"No, someone else also earns income","Yes, more than one person",35000,42000,Somewhat certain,45000,37000,65000,80000,Somewhat certain,84000,78000,60000,,,,,$11-$20,$11-$20,"$1,100 in 1 year","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,500 in 5 years","$2,000 in 5 years",Agree somewhat,1,3,5,4,2,Disagree somewhat,Definitely not,Very stable,Not worried at all,Even chance (40-60%),More than 6 months,The risk is substantial,The risk is low,No risk,I have already owned or currently own a home,Somewhat more progressive,Female,Married,,1,1,White or European American,,Yes,Yes,North Carolina,28012,Suburban,North Carolina,Shelby,Suburban,Not a student,4-year college degree,4-year college degree,4-year college degree,"Professional doctorate (e.g., JD, MD)","Not in the labor force (for example: retired, or full-time parent)",Liberal,Liberal,Kamala Harris,Joe Biden,Unbiased,Everything was clear.,663e26ccdbc470527165388b,late
7/29/25 8:32,7/29/25 8:43,IP Address,98.96.27.191,100,647,TRUE,7/29/25 8:43,R_6FxFeZXWtALlnQm,,,,,30.3217,-95.5285,anonymous,EN,1,1,F_sG30aROxVq3kUDL,signature.png,9177,image/png,,61,The government should not concern itself with this.,,No change,,,,,,,Support slightly,,Disagree strongly,Neutral,Agree somewhat,Agree strongly,Disagree strongly,Unsure,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,Agree strongly,Even chance (40-60%),Even chance (40-60%),Somewhat easier now,It has paid off a lot,It will pay off somewhat,It will pay off somewhat,Far below average,Far below average,Average,Average,"No, someone else also earns income","Yes, more than one person",90000,60000,Somewhat certain,60000,30000,90000,30000,Somewhat certain,60000,30000,70000,,,,,$41-$50,$0-$10,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$2,000 in 5 years",Agree strongly,1,2,3,4,5,Agree strongly,Definitely not,Very unstable,Very worried,Almost no chance (0-10%),1–3 months,The risk is high,No risk,The risk is high,The risk is substantial,No change,Female,Other,widow,0,0,White or European American,,Yes,Yes,Texas,77304,Suburban,Texas,Houston,Urban,Not a student,Some college,Some college,High school degree / GED,High school degree / GED,Full-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,,67d9beb7ec9915c2966f8cc3,late
7/29/25 8:35,7/29/25 8:43,IP Address,63.155.0.241,100,442,TRUE,7/29/25 8:43,R_32LWri7YkN7HBfe,,,,,44.0683,-123.0763,anonymous,EN,1,1,F_ehr1m1UXrsnU44p,signature.png,7377,image/png,,62,The government should concern itself with this.,,No change,,,,,,Support slightly,,,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Almost no chance (0-20%),Unlikely (20-40%),Much harder now,It has not paid off much,It will not pay off much,It will not pay off much,Far above average,Average,Above average,Below average,Yes,"No, just myself",17000,0,Somewhat certain,0,0,,,,,,25000,,,,,$0-$10,$0-$10,"$1,000 today","$1,000 today","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Disagree strongly,4,3,5,1,2,Agree strongly,Definitely not,Very stable,Not worried at all,Almost no chance (0-10%),Less than 1 month,No risk,No risk,No risk,I have already owned or currently own a home,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Female,Other,divorced,0,0,White or European American,,Yes,Yes,Oregon,97404,Suburban,California,no,Suburban,Not a student,4-year college degree,4-year college degree,"Master's degree (e.g., MA, MS, MBA)","Master's degree (e.g., MA, MS, MBA)",Part-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Right-wing biased,,62d43bf9cb693bf6980c5ea9,late
7/29/25 8:30,7/29/25 8:43,IP Address,98.230.81.5,100,789,TRUE,7/29/25 8:43,R_3QofJ6hP88O9Vhr,,,,,30.5218,-84.2626,anonymous,EN,0.4000000059604645,1,F_2PtGQCSyDs7o2qW,signature.png,14863,image/png,,52,The government should not concern itself with this.,,No change,,,,,,,Reject strongly,,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Unlikely (20-40%),Even chance (40-60%),No change,It has paid off a lot,It will pay off a lot,It will pay off somewhat,Above average,Average,Average,Average,Yes,"No, just myself",52000,70000,Somewhat certain,80000,60000,,,,,,45000,,,,,$0-$10,$0-$10,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$2,000 in 5 years",Disagree somewhat,1,2,3,5,4,Agree somewhat,Probably not,Very stable,Not worried at all,Almost no chance (0-10%),1–3 months,No risk,No risk,The risk is low,The risk is low,Much less progressive (everyone should be taxed at about the same rate),Male,Married,,2,2,White or European American,,Yes,Yes,Florida,32309,Suburban,Alabama,birmingham,Urban,Not a student,High school degree / GED,High school degree / GED,High school degree / GED,High school degree / GED,Full-time employee,Conservative,Moderate,Donald Trump,Donald Trump,Left-wing biased,,5694e7b5e0c800000b5a3841,late
7/29/25 8:29,7/29/25 8:43,IP Address,72.80.215.117,100,805,TRUE,7/29/25 8:43,R_5HZPiQTlBbI3TI5,,,,,40.8731,-73.8726,anonymous,EN,1,1,F_2QWo7J5K7FAy95X,signature.png,7059,image/png,,35,The government should concern itself with this.,,No change,,,,,,Support moderately,,,Disagree strongly,Disagree strongly,Agree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,Agree strongly,Agree strongly,Agree strongly,Neutral,Disagree somewhat,Unlikely (20-40%),Likely (60-80%),Much harder now,It has paid off somewhat,It will pay off a lot,It will pay off somewhat,Below average,Below average,Below average,Below average,Yes,"Yes, more than one person",50000,100000,Very certain,85000,70000,,100000,Very certain,80000,70000,60000,,,Will have children,65000,$11-$20,$11-$20,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,4,2,5,3,Disagree somewhat,Probably,Somewhat stable,Not very worried,Even chance (40-60%),3–6 months,The risk is substantial,The risk is low,No risk,No risk,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Male,Single,,1,2,Black or African American,,Yes,Yes,New York,10466,Urban,New York,bronx,Urban,Not a student,4-year college degree,"Master's degree (e.g., MA, MS, MBA)",2-year college degree,2-year college degree,Full-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Left-wing biased,,63d7b127485d5655e70c8282,late
7/29/25 8:28,7/29/25 8:43,IP Address,71.8.61.200,100,877,TRUE,7/29/25 8:43,R_2KwrKdil8DAIB69,,,,,33.7287,-87.0903,anonymous,EN,1,1,F_1HhLLwRVzHtjqTv,signature.png,7241,image/png,,53,The government should concern itself with this.,,No change,,,,,,,Support moderately,,Disagree strongly,Disagree somewhat,Agree somewhat,Agree strongly,Disagree strongly,Agree strongly,Indifferent,Agree somewhat,Agree strongly,Agree somewhat,Neutral,Almost no chance (0-20%),Almost no chance (0-20%),Somewhat harder now,It has not paid off much,It will not pay off much,It will not pay off much,Average,Below average,Average,Far below average,Yes,"No, just myself",15000,10000,Somewhat certain,10000,10000,,,,,,20000,,,,,$0-$10,$0-$10,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree strongly,1,2,3,4,5,Agree strongly,Probably not,Very unstable,Somewhat worried,Unlikely (10-40%),Less than 1 month,No risk,No risk,I already live without health insurance,The risk is high,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Female,Single,,5 or more,5 or more,White or European American,,Yes,Yes,Alabama,35063,Rural,Texas,bay city,Urban,Not a student,High school degree / GED,High school degree / GED,Some high school,High school degree / GED,"Not in the labor force (for example: retired, or full-time parent)",Moderate,Moderate,I did not vote,I did not vote,Unbiased,,5f1b2816e83bcd2d4563a28b,late
7/29/25 8:33,7/29/25 8:43,IP Address,35.151.157.130,100,610,TRUE,7/29/25 8:43,R_5pLI8kM2aL6YnSn,,,,,33.8775,-84.5017,anonymous,EN,1,1,F_1Cqg81iPXGJw14B,signature.png,6275,image/png,,50,The government should concern itself with this.,,I now support redistribution much more than in the past,,I think the policy is more fair now,,,,,Support strongly,,Disagree strongly,Disagree strongly,Agree strongly,Unsure,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Almost no chance (0-20%),Almost no chance (0-20%),Much harder now,It has not paid off much,It will not pay off much,It will not pay off much,Average,Average,Average,Below average,Yes,"No, just myself",75000,90000,Not very certain,120000,40000,,,,,,85000,,,,,$11-$20,$0-$10,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$2,000 in 5 years",Agree strongly,1,2,4,5,3,Agree somewhat,Definitely not,Somewhat stable,Somewhat worried,Unlikely (10-40%),1–3 months,The risk is low,The risk is low,The risk is substantial,The risk is high,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Female,Other,Divorced,2,2,White or European American,,Yes,No,Georgia,30060,Suburban,Georgia,Marietta,Suburban,"Master's program (e.g., MA, MS, MBA)",4-year college degree,"Master's degree (e.g., MA, MS, MBA)",High school degree / GED,High school degree / GED,Full-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Unbiased,,5bc9f8b677740000016a08b5,late
7/29/25 8:31,7/29/25 8:43,IP Address,47.41.231.135,100,712,TRUE,7/29/25 8:43,R_5cY8oPN2oc54Lq0,,,,,34.1354,-117.599,anonymous,EN,1,1,F_2RQVJnO1SV5HCDM,signature.png,8695,image/png,,64,The government should concern itself with this.,,No change,,,,,,,,Support strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree somewhat,Disagree somewhat,Agree strongly,Agree strongly,Disagree strongly,Agree somewhat,Disagree somewhat,Agree somewhat,Unlikely (20-40%),Unlikely (20-40%),Much harder now,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Average,Average,Average,Above average,Yes,"No, just myself",200000,150000,Somewhat certain,150000,120000,,,,,,120000,,,,,$91-$100,$21-$30,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$2,000 in 5 years",Disagree somewhat,1,2,5,3,4,Agree somewhat,Probably not,Somewhat stable,Somewhat worried,Even chance (40-60%),More than 6 months,The risk is low,The risk is low,The risk is low,I have already owned or currently own a home,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Male,Married,,3,3,Middle Eastern or North African,,No,No,California,91701,Suburban,California,Melbourne,Suburban,Not a student,4-year college degree,4-year college degree,4-year college degree,Some college,Full-time employee,Moderate,Moderate,Kamala Harris,Joe Biden,Unbiased,,6123fc5fe45f1905d9e7fe29,late
7/29/25 8:31,7/29/25 8:43,IP Address,172.58.124.52,100,696,TRUE,7/29/25 8:43,R_6qpx96A6755g91Y,,,,,42.3363,-83.1348,anonymous,EN,1,1,F_3J0Eqm7JcvWfkit,signature.png,10410,image/png,,50,The government should concern itself with this.,,No change,,,,,,,,Support slightly,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Unlikely (20-40%),Almost no chance (0-20%),Somewhat harder now,It has not paid off much,It will pay off somewhat,It will not pay off much,Far below average,Below average,Far below average,Below average,"No, someone else also earns income","Yes, more than one person",1000,10000,Not very certain,50000,0,69999,85000,Not very certain,85000,32000,100000,,,,,$11-$20,$0-$10,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,4,3,5,1,2,Agree somewhat,Definitely / I have already started a business,Somewhat stable,Not very worried,Unlikely (10-40%),Less than 1 month,The risk is substantial,The risk is low,The risk is low,The risk is low,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Female,Married,,4,4,White or European American,,Yes,Yes,Ohio,43528,Rural,Ohio,toledo,Urban,Not a student,Some college,Some college,Some college,High school degree / GED,Self-employed or small business owner,Liberal,Liberal,I did not vote,I did not vote,Unbiased,,66294a4e95c789c953636280,late
7/29/25 8:35,7/29/25 8:43,IP Address,65.144.63.194,100,464,TRUE,7/29/25 8:43,R_3DLUmcm0HcieY8p,,,,,36.0798,-115.2032,anonymous,EN,0.699999988,1,F_1dF6lTG4MhXD3WC,signature.png,10321,image/png,,78,The government should concern itself with this.,,I now support redistribution much more than in the past,,I think the policy is better for the economy now,,,,,Support strongly,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Disagree strongly,Unlikely (20-40%),Even chance (40-60%),Much harder now,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Below average,Below average,Below average,Above average,"No, someone else also earns income","Yes, more than one person",110000,125000,Very certain,135000,110000,125000,145000,Somewhat certain,145000,145000,125000,,,,,$21-$30,$21-$30,"$1,000 today","$1,000 today","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,2,4,5,3,Neutral,Definitely not,Very stable,Not worried at all,Almost no chance (0-10%),More than 6 months,No risk,The risk is low,No risk,I have already owned or currently own a home,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Male,Married,,4,4,White or European American,,Yes,Yes,California,92253,Suburban,California,Los Angeles ,Suburban,Not a student,"Professional doctorate (e.g., JD, MD)","Professional doctorate (e.g., JD, MD)",Some college,High school degree / GED,"Not in the labor force (for example: retired, or full-time parent)",Liberal,Liberal,Kamala Harris,Joe Biden,Unbiased,,5b79bd77c4e6ad0001d2f312,late
7/29/25 8:31,7/29/25 8:43,IP Address,24.167.186.51,100,722,TRUE,7/29/25 8:43,R_7F4gOZlgIfoyENK,,,,,36.4995,-80.616,anonymous,EN,1,1,F_2UgrPypv3iTdDEW,signature.png,7497,image/png,,45,The government should concern itself with this.,,No change,,,,,,,Support strongly,,Disagree strongly,Neutral,Indifferent,Agree somewhat,Disagree strongly,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Disagree strongly,Neutral,Almost no chance (0-20%),Almost no chance (0-20%),No change,It has not paid off much,It will pay off somewhat,It will not pay off much,Average,Below average,Average,Below average,Yes,"No, just myself",32000,52000,Not very certain,50000,40000,,,,,,60000,,,,,$0-$10,$0-$10,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Indifferent,1,2,5,4,3,Disagree somewhat,Maybe,Very stable,Not worried at all,Likely (60-90%),1–3 months,The risk is substantial,The risk is low,The risk is low,I have already owned or currently own a home,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Female,Single,,1,1,Black or African American,,Yes,Yes,North Carolina,27105,Suburban,North Carolina,Winston Salem,Suburban,Not a student,4-year college degree,4-year college degree,High school degree / GED,High school degree / GED,Full-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Unbiased,,565bff58c121fe0005fc390d,late
7/29/25 8:26,7/29/25 8:43,IP Address,108.73.72.233,100,1046,TRUE,7/29/25 8:43,R_1XnTBB57RMg4yXk,,,,,26.1355,-80.2347,anonymous,EN,1,1,F_1fk2FDw8Ej6JFuU,signature.png,7097,image/png,,44,The government should concern itself with this.,,No change,,,,,,,Support slightly,,Disagree strongly,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree strongly,Indifferent,Agree somewhat,Agree somewhat,Agree strongly,Disagree somewhat,Agree strongly,Unlikely (20-40%),Unlikely (20-40%),Somewhat harder now,It has not paid off much,It will not pay off much,It will not pay off much,Average,Average,Average,Below average,"No, someone else also earns income","Yes, more than one person",2000,40000,Not very certain,30000,10000,65000,75000,Not very certain,80000,50000,75000,,,,,$0-$10,$0-$10,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,4,5,2,3,Disagree somewhat,Definitely not,Somewhat unstable,Somewhat worried,Almost no chance (0-10%),Less than 1 month,The risk is substantial,The risk is high,The risk is high,The risk is high,Somewhat more progressive,Female,Married,,4,4,White or European American,,Yes,Yes,Florida,33325,Urban,Florida,Hollywood  Fl,Urban,Not a student,High school degree / GED,High school degree / GED,Some college,2-year college degree,Part-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,,5dd40277e08a363e4e006384,late
